doc_id,filing_datetime,doc_type_name,doc_type_code_used,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100XEBH,2026-01-15 09:02:00,Semi-Annual Report,160,アセットマネジメントＯｎｅ株式会社,,,,,,155914956.0,,,,,,,,,
S100XEDG,2026-01-15 09:05:00,Semi-Annual Report,160,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,,,,259002284.0,,,,,,,,,
S100XEGS,2026-01-15 09:05:00,Semi-Annual Report,160,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,,,,7991691503.0,,,,,,,,,
S100XDR0,2026-01-15 09:05:00,Semi-Annual Report,160,スカイオーシャン・アセットマネジメント株式会社,,,,,,957770367.0,,,,,,,,,
S100XDFK,2026-01-15 09:06:00,Semi-Annual Report,160,ステート・ストリート・グローバル・アドバイザーズ株式会社,State Street Global Advisors (Japan) Co.,,,,,81961623.0,,,,,,,,,
S100XDL9,2026-01-15 09:06:00,Semi-Annual Report,160,東京海上アセットマネジメント株式会社,TOKIO MARINE ASSET MANAGEMENT CO.,,,,,-45536721.0,,,,,,,,,
S100X2KH,2026-01-15 09:07:00,Semi-Annual Report,160,楽天投信投資顧問株式会社,,,,,,784707027.0,,,,,,,,,
S100XC9G,2026-01-15 09:08:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,90967897.0,,,,,,,,,
S100X2KJ,2026-01-15 09:09:00,Semi-Annual Report,160,楽天投信投資顧問株式会社,,,,,,3235598651.0,,,,,,,,,
S100XEFY,2026-01-15 09:10:00,Semi-Annual Report,160,アセットマネジメントＯｎｅ株式会社,,,,,,179439452.0,,,,,,,,,
S100X2KO,2026-01-15 09:10:00,Semi-Annual Report,160,楽天投信投資顧問株式会社,,,,,,381970885.0,,,,,,,,,
S100X2KX,2026-01-15 09:12:00,Semi-Annual Report,160,楽天投信投資顧問株式会社,,,,,,188835582.0,,,,,,,,,
S100X23G,2026-01-15 09:21:00,Semi-Annual Report,160,アモーヴァ・アセットマネジメント株式会社,,,,,,502168540.0,,,,,,,,,
S100X23I,2026-01-15 09:23:00,Semi-Annual Report,160,アモーヴァ・アセットマネジメント株式会社,,,,,,244084441.0,,,,,,,,,
S100XCV2,2026-01-15 09:43:00,Semi-Annual Report,160,ニッセイアセットマネジメント株式会社,Nissay Asset Management Corporation,,,,,150429265.0,,,,,,,,,
S100XFLG,2026-01-15 11:00:00,Semi-Annual Report,160,日亜持株組合,Nichia Stockholding Association,,,,,,,,,,,,,,
S100XFIB,2026-01-14 13:20:00,Semi-Annual Report,160,ライク株式会社,,,,,,725660000.0,,,,,,,,,
S100XFWK,2026-01-15 11:13:00,Semi-Annual Report Amendment,170,アーキテクツ・スタジオ・ジャパン株式会社,,6085.T,,,,,,,,,,,,,
S100XFX1,2026-01-15 13:08:00,Semi-Annual Report Amendment,170,株式会社京進,,4735.T,,,,,,,,,,,,,
S100X2IM,2026-01-16 09:01:00,Semi-Annual Report,160,ラッセル・インベストメント株式会社,Russell Investments Japan Co.,,,,,163531385.0,,,,,,,,,
